Date,Product,City,Quantity,Price per Unit ($),Total Price ($),Payment Method,Discount ($),Final Price ($)
2023-06-21,Tablet,Los Angeles,11,1162.88,12791.68,Credit Card,1997.54,10794.14
2023-11-02,Mouse,Los Angeles,1,425.16,425.16,Cash,20.87,404.29
2023-10-16,Headphones,Chicago,2,590.33,1180.66,Credit Card,342.41,838.25
2023-09-22,Tablet,Houston,14,120.59,1688.26,Debit Card,177.87,1510.39
2023-10-11,Tablet,Houston,12,598.93,7187.16,Online Payment,113.06,7074.1
2023-08-08,Mouse,Chicago,6,245.26,1471.56,Online Payment,88.57,1382.99
2023-03-04,Smartphone,New York,13,658.05,8554.65,Bank Transfer,472.81,8081.84
2023-08-13,Smartphone,Los Angeles,2,1748.29,3496.58,Credit Card,277.03,3219.55
2023-01-13,Smartphone,New York,8,409.17,3273.36,Credit Card,827.94,2445.42
2023-11-04,Monitor,Chicago,6,1274.6,7647.6,Online Payment,1315.82,6331.78
2023-05-26,Tablet,Chicago,9,1346.81,12121.29,Debit Card,3212.52,8908.77
2023-10-23,Tablet,Los Angeles,3,1621.05,4863.15,Cash,973.04,3890.11
2023-10-01,Laptop,Houston,8,58.25,466.0,Cash,98.5,367.5
2023-08-25,Laptop,Phoenix,12,966.08,11592.96,Bank Transfer,3397.11,8195.85
2023-09-25,Headphones,Houston,10,324.28,3242.8,Bank Transfer,545.56,2697.24
2023-10-23,Mouse,Chicago,17,688.66,11707.22,Bank Transfer,2339.99,9367.23
2023-02-19,Mouse,Phoenix,1,1978.49,1978.49,Credit Card,456.69,1521.8
2023-12-21,Mouse,New York,4,474.33,1897.32,Debit Card,519.89,1377.43
2023-06-27,Monitor,New York,2,993.27,1986.54,Bank Transfer,569.85,1416.69
2023-04-09,Laptop,Houston,6,50.22,301.32,Cash,10.61,290.71
2023-04-28,Headphones,Houston,4,1095.2,4380.8,Debit Card,595.97,3784.83
2023-11-05,Monitor,New York,4,1818.63,7274.52,Bank Transfer,986.95,6287.57
2023-11-06,Keyboard,Los Angeles,8,586.01,4688.08,Debit Card,1103.17,3584.91
2023-09-09,Mouse,Houston,17,1790.72,30442.24,Credit Card,2455.97,27986.27
2023-11-11,Monitor,Los Angeles,7,1580.18,11061.26,Bank Transfer,1438.12,9623.14
2023-12-21,Mouse,New York,12,524.18,6290.16,Bank Transfer,829.42,5460.74
2023-01-01,Mouse,Chicago,3,978.9,2936.7,Online Payment,51.44,2885.26
2023-10-22,Tablet,Phoenix,8,1943.33,15546.64,Debit Card,1673.08,13873.56
2023-01-04,Laptop,Los Angeles,8,1147.4,9179.2,Online Payment,2154.64,7024.56
2023-03-28,Laptop,New York,7,612.32,4286.24,Bank Transfer,888.14,3398.1
2023-01-01,Smartphone,Houston,20,1187.32,23746.4,Credit Card,6218.23,17528.17
2023-01-27,Headphones,Phoenix,1,1011.39,1011.39,Online Payment,73.81,937.58
2023-04-22,Keyboard,Houston,15,832.53,12487.95,Debit Card,1925.95,10562.0
2023-01-24,Laptop,Chicago,9,356.38,3207.42,Cash,838.74,2368.68
2023-01-23,Smartphone,Houston,3,854.19,2562.57,Online Payment,331.84,2230.73
2023-01-11,Monitor,Chicago,4,1416.79,5667.16,Debit Card,741.04,4926.12
2023-10-25,Mouse,Chicago,5,1110.14,5550.7,Bank Transfer,64.62,5486.08
2023-06-13,Laptop,New York,3,1887.72,5663.16,Bank Transfer,147.62,5515.54
2023-02-19,Keyboard,Los Angeles,6,824.43,4946.58,Bank Transfer,317.51,4629.07
2023-12-07,Headphones,Phoenix,10,1215.58,12155.8,Cash,2420.75,9735.05
2023-04-04,Keyboard,Los Angeles,4,334.48,1337.92,Online Payment,294.97,1042.95
2023-06-19,Smartphone,New York,7,1840.17,12881.19,Online Payment,479.56,12401.63
2023-10-20,Keyboard,Los Angeles,7,1094.77,7663.39,Online Payment,1657.11,6006.28
2023-07-18,Headphones,Chicago,17,830.66,14121.22,Cash,1579.68,12541.54
2023-07-22,Monitor,New York,2,1351.68,2703.36,Bank Transfer,100.79,2602.57
2023-08-08,Tablet,Phoenix,14,23.63,330.82,Bank Transfer,84.33,246.49
2023-06-21,Smartphone,New York,1,522.87,522.87,Online Payment,45.45,477.42
2023-03-21,Smartphone,Phoenix,16,1422.79,22764.64,Credit Card,6067.07,16697.57
2023-04-14,Smartphone,Los Angeles,11,1661.71,18278.81,Cash,2423.96,15854.85
2023-06-08,Mouse,Los Angeles,4,173.24,692.96,Bank Transfer,73.9,619.06
2023-05-15,Keyboard,Houston,15,943.15,14147.25,Cash,3922.3,10224.95
2023-11-24,Mouse,New York,6,1317.21,7903.26,Bank Transfer,1867.24,6036.02
2023-06-17,Keyboard,Chicago,1,304.82,304.82,Credit Card,69.86,234.96
2023-08-27,Headphones,Phoenix,18,712.52,12825.36,Online Payment,2676.93,10148.43
2023-03-08,Smartphone,Los Angeles,15,1668.22,25023.3,Bank Transfer,6760.15,18263.15
2023-09-22,Keyboard,Houston,6,1525.01,9150.06,Cash,2021.98,7128.08
2023-02-19,Headphones,New York,6,740.24,4441.44,Cash,54.67,4386.77
2023-02-12,Smartphone,Los Angeles,16,220.26,3524.16,Bank Transfer,146.25,3377.91
2023-02-23,Headphones,Los Angeles,8,1499.92,11999.36,Debit Card,2504.95,9494.41
2023-12-14,Headphones,New York,17,90.58,1539.86,Online Payment,238.44,1301.42
2023-04-12,Mouse,Chicago,10,1648.51,16485.1,Debit Card,955.33,15529.77
2023-10-02,Mouse,Chicago,20,29.67,593.4,Cash,106.58,486.82
2023-01-27,Smartphone,New York,6,436.56,2619.36,Credit Card,761.03,1858.33
2023-07-04,Monitor,Los Angeles,7,614.58,4302.06,Debit Card,561.31,3740.75
2023-03-30,Smartphone,Houston,4,1046.28,4185.12,Cash,88.98,4096.14
2023-11-06,Smartphone,Chicago,19,109.75,2085.25,Debit Card,512.18,1573.07
2023-09-03,Monitor,Phoenix,7,224.42,1570.94,Debit Card,120.12,1450.82
2023-03-12,Laptop,Phoenix,10,993.51,9935.1,Credit Card,1227.79,8707.31
2023-10-12,Tablet,Phoenix,8,752.36,6018.88,Credit Card,1542.43,4476.45
2023-01-05,Laptop,New York,1,205.24,205.24,Debit Card,15.28,189.96
2023-04-11,Laptop,New York,15,746.81,11202.15,Cash,175.58,11026.57
2023-11-22,Keyboard,Phoenix,4,1133.22,4532.88,Debit Card,924.45,3608.43
2023-11-17,Smartphone,Chicago,17,1861.75,31649.75,Bank Transfer,8906.51,22743.24
2023-11-13,Keyboard,Houston,4,167.09,668.36,Bank Transfer,150.94,517.42
2023-05-24,Headphones,Los Angeles,19,999.87,18997.53,Bank Transfer,5407.27,13590.26
2023-09-04,Mouse,Phoenix,12,1676.83,20121.96,Debit Card,3701.98,16419.98
2023-12-31,Laptop,Houston,14,567.52,7945.28,Debit Card,1945.97,5999.31
2023-10-01,Laptop,Phoenix,9,856.48,7708.32,Credit Card,793.34,6914.98
2023-10-26,Laptop,Chicago,9,1907.27,17165.43,Bank Transfer,2299.76,14865.67
2023-05-20,Tablet,New York,3,1238.65,3715.95,Online Payment,413.93,3302.02
2023-05-13,Keyboard,Houston,13,247.81,3221.53,Credit Card,718.56,2502.97
2023-05-09,Tablet,Chicago,9,367.99,3311.91,Credit Card,438.72,2873.19
2023-08-03,Laptop,Los Angeles,16,859.84,13757.44,Cash,1529.97,12227.47
2023-10-06,Tablet,Los Angeles,12,589.25,7071.0,Bank Transfer,787.69,6283.31
2023-12-22,Mouse,Houston,10,266.68,2666.8,Online Payment,600.95,2065.85
2023-01-18,Keyboard,New York,18,641.66,11549.88,Debit Card,53.75,11496.13
2023-11-21,Headphones,Phoenix,14,894.32,12520.48,Online Payment,3460.62,9059.86
2023-04-02,Headphones,Los Angeles,17,449.51,7641.67,Bank Transfer,1700.45,5941.22
2023-09-13,Tablet,New York,8,107.81,862.48,Online Payment,166.1,696.38
2023-01-18,Monitor,Chicago,14,891.26,12477.64,Online Payment,135.7,12341.94
2023-12-10,Keyboard,Houston,2,58.22,116.44,Cash,4.51,111.93
2023-02-06,Tablet,Los Angeles,6,1428.6,8571.6,Credit Card,785.59,7786.01
2023-07-15,Headphones,New York,20,486.85,9737.0,Credit Card,2640.48,7096.52
2023-08-27,Keyboard,Houston,7,1224.05,8568.35,Cash,689.16,7879.19
2023-11-07,Tablet,Houston,17,1199.81,20396.77,Bank Transfer,1403.44,18993.33
2023-04-04,Laptop,Chicago,17,1367.05,23239.85,Cash,727.47,22512.38
2023-11-09,Tablet,New York,9,685.43,6168.87,Credit Card,1122.98,5045.89
2023-09-22,Tablet,Phoenix,5,349.91,1749.55,Credit Card,465.1,1284.45
2023-10-17,Mouse,Chicago,9,261.78,2356.02,Credit Card,407.02,1949.0
2023-07-23,Headphones,Houston,20,35.29,705.8,Online Payment,106.1,599.7
2023-12-13,Smartphone,Chicago,20,179.41,3588.2,Cash,102.86,3485.34
2023-10-20,Mouse,Houston,5,553.93,2769.65,Debit Card,512.26,2257.39
2023-09-24,Tablet,Houston,12,1512.88,18154.56,Credit Card,3516.55,14638.01
2023-03-17,Smartphone,Phoenix,11,1582.65,17409.15,Online Payment,2705.6,14703.55
2023-10-08,Mouse,Chicago,14,1290.44,18066.16,Credit Card,339.34,17726.82
2023-05-05,Tablet,Chicago,11,855.97,9415.67,Cash,2567.93,6847.74
2023-03-11,Headphones,Houston,7,729.22,5104.54,Cash,824.64,4279.9
2023-03-07,Smartphone,Los Angeles,4,1286.95,5147.8,Bank Transfer,292.16,4855.64
2023-08-21,Smartphone,Chicago,6,1561.88,9371.28,Debit Card,2479.71,6891.57
2023-08-28,Monitor,New York,15,832.82,12492.3,Cash,1747.24,10745.06
2023-03-07,Monitor,New York,18,596.36,10734.48,Credit Card,2513.17,8221.31
2023-11-28,Monitor,Los Angeles,7,511.76,3582.32,Online Payment,861.95,2720.37
2023-07-28,Laptop,Phoenix,4,1073.54,4294.16,Cash,953.22,3340.94
2023-09-20,Smartphone,Houston,5,554.73,2773.65,Cash,511.24,2262.41
2023-07-15,Mouse,New York,1,446.55,446.55,Online Payment,50.07,396.48
2023-04-27,Mouse,Houston,17,1043.5,17739.5,Online Payment,4642.37,13097.13
2023-07-21,Keyboard,Houston,15,817.62,12264.3,Debit Card,4.17,12260.13
2023-07-22,Laptop,New York,2,635.45,1270.9,Debit Card,214.19,1056.71
2023-03-21,Keyboard,Los Angeles,9,1821.49,16393.41,Bank Transfer,2451.67,13941.74
2023-04-21,Keyboard,Houston,8,40.19,321.52,Online Payment,25.41,296.11
2023-03-07,Monitor,Houston,10,488.44,4884.4,Debit Card,1348.16,3536.24
2023-11-22,Laptop,Houston,13,1200.9,15611.7,Online Payment,3896.47,11715.23
2023-09-17,Tablet,Los Angeles,16,1524.33,24389.28,Bank Transfer,6550.98,17838.3
2023-11-21,Headphones,Los Angeles,14,1423.98,19935.72,Debit Card,3974.15,15961.57
2023-07-29,Laptop,Phoenix,8,1778.8,14230.4,Online Payment,3506.39,10724.01
2023-03-18,Smartphone,Los Angeles,7,328.18,2297.26,Cash,252.65,2044.61
2023-07-02,Monitor,Phoenix,4,198.89,795.56,Debit Card,141.69,653.87
2023-11-01,Mouse,Phoenix,20,1026.44,20528.8,Online Payment,3643.49,16885.31
2023-07-11,Smartphone,Phoenix,12,1047.74,12572.88,Cash,2244.24,10328.64
2023-03-10,Laptop,Los Angeles,14,953.21,13344.94,Bank Transfer,1837.39,11507.55
2023-01-18,Smartphone,New York,16,1294.61,20713.76,Bank Transfer,332.56,20381.2
2023-04-04,Monitor,New York,12,1218.47,14621.64,Debit Card,460.13,14161.51
2023-05-16,Smartphone,Houston,3,566.44,1699.32,Debit Card,302.96,1396.36
2023-05-04,Laptop,New York,17,521.33,8862.61,Debit Card,1645.93,7216.68
2023-04-02,Keyboard,Chicago,11,178.86,1967.46,Debit Card,554.15,1413.31
2023-08-18,Monitor,Phoenix,3,801.77,2405.31,Credit Card,293.07,2112.24
2023-02-25,Laptop,Phoenix,11,1718.5,18903.5,Bank Transfer,2322.78,16580.72
2023-11-11,Headphones,Chicago,14,1572.68,22017.52,Bank Transfer,4510.28,17507.24
2023-07-29,Headphones,New York,7,893.59,6255.13,Credit Card,880.34,5374.79
2023-04-11,Laptop,Phoenix,17,1296.36,22038.12,Credit Card,2610.96,19427.16
2023-12-12,Mouse,Chicago,20,1200.16,24003.2,Debit Card,4056.02,19947.18
2023-06-01,Monitor,Houston,15,1693.96,25409.4,Credit Card,1217.36,24192.04
2023-09-15,Laptop,Phoenix,14,1742.97,24401.58,Online Payment,2328.94,22072.64
2023-11-12,Monitor,Houston,12,1299.6,15595.2,Bank Transfer,2515.29,13079.91
2023-07-09,Keyboard,Chicago,9,1791.25,16121.25,Bank Transfer,992.9,15128.35
2023-03-30,Laptop,Los Angeles,18,861.71,15510.78,Online Payment,650.06,14860.72
2023-07-24,Mouse,New York,6,741.37,4448.22,Online Payment,939.15,3509.07
2023-08-10,Headphones,Houston,11,726.94,7996.34,Online Payment,984.4,7011.94
2023-07-06,Mouse,Houston,15,1917.81,28767.15,Credit Card,2754.85,26012.3
2023-03-13,Tablet,Houston,2,1996.71,3993.42,Credit Card,579.16,3414.26
2023-07-14,Smartphone,Chicago,11,872.54,9597.94,Online Payment,180.15,9417.79
2023-09-25,Monitor,New York,11,1673.17,18404.87,Cash,1515.09,16889.78
2023-07-13,Laptop,New York,3,172.05,516.15,Debit Card,21.5,494.65
2023-01-02,Monitor,Chicago,20,910.91,18218.2,Online Payment,1571.95,16646.25
2023-04-30,Headphones,Chicago,17,939.91,15978.47,Online Payment,2077.47,13901.0
2023-12-17,Monitor,Phoenix,20,1381.45,27629.0,Bank Transfer,5560.86,22068.14
2023-05-15,Headphones,Chicago,7,722.26,5055.82,Cash,1433.27,3622.55
2023-06-18,Mouse,Chicago,19,48.97,930.43,Bank Transfer,219.6,710.83
2023-07-23,Smartphone,Phoenix,1,486.27,486.27,Bank Transfer,115.38,370.89
2023-09-18,Headphones,Phoenix,17,1652.4,28090.8,Cash,3807.07,24283.73
2023-03-09,Tablet,Houston,4,1406.67,5626.68,Debit Card,607.9,5018.78
2023-02-12,Mouse,Chicago,12,161.42,1937.04,Credit Card,329.67,1607.37
2023-12-04,Monitor,Chicago,4,1335.65,5342.6,Cash,353.9,4988.7
2023-03-23,Headphones,Houston,7,813.76,5696.32,Cash,1116.88,4579.44
2023-07-10,Headphones,Houston,14,315.04,4410.56,Cash,64.48,4346.08
2023-02-27,Headphones,New York,5,489.03,2445.15,Bank Transfer,274.48,2170.67
2023-03-18,Tablet,New York,8,1374.9,10999.2,Debit Card,119.51,10879.69
2023-10-14,Monitor,Chicago,18,563.95,10151.1,Credit Card,729.96,9421.14
2023-01-25,Keyboard,Los Angeles,13,577.41,7506.33,Bank Transfer,2158.06,5348.27
2023-03-31,Headphones,Los Angeles,10,605.85,6058.5,Online Payment,1772.34,4286.16
2023-03-10,Laptop,Los Angeles,13,53.1,690.3,Cash,97.77,592.53
2023-11-18,Monitor,Phoenix,1,763.89,763.89,Cash,73.57,690.32
2023-02-07,Mouse,Phoenix,19,103.18,1960.42,Cash,286.3,1674.12
2023-10-10,Keyboard,Phoenix,3,915.82,2747.46,Bank Transfer,155.42,2592.04
2023-11-13,Laptop,New York,3,267.58,802.74,Online Payment,149.83,652.91
2023-01-23,Mouse,Los Angeles,20,1581.53,31630.6,Cash,2632.57,28998.03
2023-03-17,Mouse,New York,20,853.92,17078.4,Debit Card,2618.67,14459.73
2023-11-25,Smartphone,New York,17,1748.98,29732.66,Cash,2695.57,27037.09
2023-04-11,Laptop,Los Angeles,10,243.94,2439.4,Cash,716.34,1723.06
2023-03-21,Keyboard,New York,19,128.69,2445.11,Debit Card,463.76,1981.35
2023-09-22,Keyboard,Phoenix,13,80.42,1045.46,Debit Card,227.67,817.79
2023-02-19,Smartphone,Los Angeles,11,167.95,1847.45,Cash,466.27,1381.18
2023-12-18,Mouse,New York,16,1904.7,30475.2,Online Payment,7370.8,23104.4
2023-06-20,Tablet,New York,13,178.44,2319.72,Cash,152.34,2167.38
2023-08-04,Monitor,Los Angeles,19,1275.0,24225.0,Cash,1152.55,23072.45
2023-05-08,Headphones,Los Angeles,10,890.34,8903.4,Cash,475.47,8427.93
2023-04-08,Laptop,Phoenix,13,1511.5,19649.5,Bank Transfer,938.29,18711.21
2023-08-31,Laptop,Los Angeles,6,1807.11,10842.66,Debit Card,836.34,10006.32
2023-01-24,Smartphone,Phoenix,1,1651.39,1651.39,Debit Card,85.37,1566.02
2023-11-11,Laptop,Houston,15,676.79,10151.85,Online Payment,1776.93,8374.92
2023-11-05,Tablet,Houston,14,274.07,3836.98,Debit Card,1120.8,2716.18
2023-01-08,Laptop,New York,5,894.63,4473.15,Online Payment,357.3,4115.85
2023-12-02,Headphones,Houston,1,1637.9,1637.9,Bank Transfer,108.41,1529.49
2023-01-18,Laptop,New York,5,1465.21,7326.05,Bank Transfer,1669.73,5656.32
2023-06-05,Mouse,Phoenix,14,182.26,2551.64,Debit Card,564.32,1987.32
2023-07-02,Laptop,New York,20,62.96,1259.2,Online Payment,324.22,934.98
2023-01-08,Monitor,Los Angeles,8,222.97,1783.76,Debit Card,322.28,1461.48
2023-08-29,Headphones,New York,9,99.56,896.04,Online Payment,124.06,771.98
2023-07-22,Laptop,Houston,20,782.0,15640.0,Bank Transfer,990.6,14649.4
2023-10-30,Keyboard,Los Angeles,17,1897.36,32255.12,Bank Transfer,2335.97,29919.15
2023-12-28,Smartphone,New York,13,1751.38,22767.94,Debit Card,4752.77,18015.17
2023-11-11,Tablet,Houston,14,1554.53,21763.42,Credit Card,1697.45,20065.97
2023-08-15,Laptop,Chicago,20,471.25,9425.0,Credit Card,1145.67,8279.33
2023-03-24,Smartphone,New York,15,321.87,4828.05,Online Payment,933.74,3894.31
2023-09-09,Laptop,Phoenix,16,674.24,10787.84,Credit Card,622.31,10165.53
2023-03-04,Tablet,Houston,12,726.39,8716.68,Cash,139.54,8577.14
2023-07-25,Mouse,Houston,8,1253.43,10027.44,Bank Transfer,2843.6,7183.84
2023-06-29,Smartphone,New York,7,1940.93,13586.51,Debit Card,4039.57,9546.94
2023-04-06,Laptop,Houston,19,1262.47,23986.93,Bank Transfer,3062.83,20924.1
2023-07-30,Mouse,Phoenix,12,162.03,1944.36,Bank Transfer,33.91,1910.45
2023-01-19,Smartphone,Chicago,9,1051.67,9465.03,Online Payment,2250.0,7215.03
2023-11-15,Mouse,Los Angeles,20,437.65,8753.0,Debit Card,1944.77,6808.23
2023-04-04,Headphones,Los Angeles,17,652.74,11096.58,Online Payment,1207.45,9889.13
2023-11-04,Keyboard,Los Angeles,14,1210.4,16945.6,Debit Card,225.55,16720.05
2023-04-06,Laptop,Los Angeles,13,1684.79,21902.27,Cash,2368.54,19533.73
2023-02-26,Keyboard,Houston,10,1242.7,12427.0,Bank Transfer,3668.76,8758.24
2023-12-07,Laptop,Houston,6,1509.86,9059.16,Credit Card,1976.83,7082.33
2023-02-07,Keyboard,New York,18,1427.46,25694.28,Cash,6733.76,18960.52
2023-01-31,Tablet,Houston,15,471.76,7076.4,Online Payment,738.09,6338.31
2023-06-05,Smartphone,Chicago,14,1499.65,20995.1,Debit Card,4107.24,16887.86
2023-07-08,Headphones,Phoenix,18,135.84,2445.12,Cash,337.67,2107.45
2023-07-30,Laptop,Phoenix,1,1284.75,1284.75,Bank Transfer,213.53,1071.22
2023-11-02,Tablet,Chicago,7,916.2,6413.4,Credit Card,937.95,5475.45
2023-04-10,Mouse,Houston,12,1884.47,22613.64,Cash,387.17,22226.47
2023-08-22,Mouse,Houston,9,1981.75,17835.75,Online Payment,493.33,17342.42
2023-03-07,Monitor,Houston,12,1352.95,16235.4,Online Payment,2074.6,14160.8
2023-03-13,Keyboard,Houston,4,1799.22,7196.88,Credit Card,1462.75,5734.13
2023-02-22,Smartphone,Chicago,2,39.43,78.86,Online Payment,11.69,67.17
2023-06-19,Headphones,Los Angeles,16,1812.22,28995.52,Credit Card,940.64,28054.88
2023-02-01,Smartphone,Phoenix,19,953.11,18109.09,Credit Card,2108.03,16001.06
2023-04-28,Laptop,Phoenix,14,1096.68,15353.52,Credit Card,1551.09,13802.43
2023-04-06,Mouse,Chicago,16,1162.78,18604.48,Online Payment,1744.25,16860.23
2023-02-16,Mouse,Houston,15,1411.17,21167.55,Credit Card,3088.04,18079.51
2023-10-29,Headphones,Phoenix,16,815.3,13044.8,Credit Card,3086.86,9957.94
2023-02-04,Tablet,Los Angeles,3,764.77,2294.31,Debit Card,512.8,1781.51
2023-11-19,Mouse,Phoenix,12,546.51,6558.12,Cash,487.32,6070.8
2023-02-27,Tablet,Houston,8,55.77,446.16,Cash,96.1,350.06
2023-09-12,Keyboard,Houston,20,285.6,5712.0,Online Payment,1395.1,4316.9
2023-12-05,Keyboard,New York,1,826.85,826.85,Credit Card,220.36,606.49
2023-07-13,Mouse,Los Angeles,4,219.72,878.88,Credit Card,191.38,687.5
2023-07-20,Monitor,New York,20,896.77,17935.4,Online Payment,3741.45,14193.95
2023-08-09,Keyboard,Houston,19,1432.91,27225.29,Debit Card,3768.53,23456.76
2023-01-21,Smartphone,Phoenix,13,1033.62,13437.06,Debit Card,3041.76,10395.3
2023-08-12,Tablet,Los Angeles,1,1430.38,1430.38,Cash,98.93,1331.45
2023-07-25,Mouse,Houston,17,1527.57,25968.69,Debit Card,4597.21,21371.48
2023-01-02,Smartphone,New York,11,1697.01,18667.11,Debit Card,5143.52,13523.59
2023-04-27,Laptop,Los Angeles,7,523.04,3661.28,Debit Card,814.26,2847.02
2023-07-16,Smartphone,New York,20,606.39,12127.8,Cash,419.98,11707.82
2023-10-05,Laptop,Los Angeles,18,1292.44,23263.92,Credit Card,1736.68,21527.24
2023-12-22,Mouse,Houston,17,747.43,12706.31,Bank Transfer,3722.89,8983.42
2023-11-06,Headphones,New York,3,484.81,1454.43,Bank Transfer,294.54,1159.89
2023-04-13,Headphones,Chicago,8,1987.83,15902.64,Online Payment,4691.89,11210.75
2023-09-03,Keyboard,Los Angeles,15,1807.22,27108.3,Debit Card,4013.85,23094.45
2023-12-14,Laptop,New York,18,150.11,2701.98,Debit Card,755.01,1946.97
2023-03-19,Keyboard,Phoenix,7,1255.49,8788.43,Cash,2384.01,6404.42
2023-03-01,Mouse,Phoenix,18,527.37,9492.66,Credit Card,1428.64,8064.02
2023-02-17,Laptop,Los Angeles,3,945.23,2835.69,Credit Card,550.22,2285.47
2023-02-16,Monitor,Los Angeles,10,293.1,2931.0,Cash,299.5,2631.5
2023-12-15,Smartphone,Houston,18,1616.4,29095.2,Online Payment,4976.26,24118.94
2023-06-11,Headphones,New York,2,1399.62,2799.24,Debit Card,118.29,2680.95
2023-02-09,Mouse,Chicago,12,1038.88,12466.56,Bank Transfer,1664.54,10802.02
2023-01-24,Smartphone,Houston,10,356.42,3564.2,Online Payment,822.95,2741.25
2023-12-01,Laptop,Chicago,1,1339.13,1339.13,Online Payment,176.83,1162.3
2023-05-12,Keyboard,Phoenix,8,1846.97,14775.76,Debit Card,3730.77,11044.99
2023-08-01,Keyboard,Los Angeles,19,79.24,1505.56,Credit Card,314.05,1191.51
2023-05-31,Monitor,Los Angeles,10,1634.34,16343.4,Debit Card,4651.67,11691.73
2023-09-14,Mouse,Chicago,15,305.4,4581.0,Bank Transfer,284.7,4296.3
2023-03-17,Headphones,Chicago,15,1192.18,17882.7,Debit Card,4382.47,13500.23
2023-11-08,Monitor,New York,8,1647.15,13177.2,Credit Card,2302.43,10874.77
2023-01-27,Laptop,Los Angeles,6,1018.53,6111.18,Online Payment,945.97,5165.21
2023-06-29,Headphones,Phoenix,19,684.77,13010.63,Online Payment,2904.13,10106.5
2023-07-16,Tablet,New York,18,1793.61,32284.98,Bank Transfer,301.58,31983.4
2023-12-06,Keyboard,Chicago,14,1618.97,22665.58,Cash,2755.22,19910.36
2023-04-23,Mouse,Los Angeles,11,1320.71,14527.81,Cash,714.65,13813.16
2023-05-28,Laptop,Los Angeles,14,227.25,3181.5,Bank Transfer,155.55,3025.95
